frac,frame,N,frac_in,n_out,expand,csv,png
normal_to_cancer,64,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z064.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z064.png
normal_to_cancer,65,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z065.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z065.png
normal_to_cancer,66,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z066.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z066.png
normal_to_cancer,67,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z067.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z067.png
normal_to_cancer,68,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z068.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z068.png
normal_to_cancer,69,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z069.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z069.png
normal_to_cancer,70,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z070.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z070.png
normal_to_cancer,71,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z071.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z071.png
normal_to_cancer,72,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z072.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z072.png
normal_to_cancer,73,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z073.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z073.png
normal_to_cancer,74,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z074.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z074.png
normal_to_cancer,75,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z075.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z075.png
normal_to_cancer,76,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z076.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z076.png
normal_to_cancer,77,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z077.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z077.png
normal_to_cancer,78,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z078.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z078.png
normal_to_cancer,79,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z079.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z079.png
normal_to_cancer,80,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z080.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z080.png
normal_to_cancer,81,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z081.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z081.png
normal_to_cancer,82,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z082.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z082.png
normal_to_cancer,83,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z083.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z083.png
normal_to_cancer,84,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z084.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z084.png
normal_to_cancer,85,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z085.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z085.png
normal_to_cancer,86,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z086.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z086.png
normal_to_cancer,87,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z087.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z087.png
normal_to_cancer,88,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z088.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z088.png
normal_to_cancer,89,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z089.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z089.png
normal_to_cancer,90,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z090.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z090.png
normal_to_cancer,91,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z091.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z091.png
normal_to_cancer,92,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z092.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z092.png
normal_to_cancer,93,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z093.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z093.png
normal_to_cancer,94,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z094.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z094.png
normal_to_cancer,95,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z095.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z095.png
normal_to_cancer,96,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z096.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z096.png
normal_to_cancer,97,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z097.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z097.png
normal_to_cancer,98,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z098.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z098.png
normal_to_cancer,99,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z099.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z099.png
normal_to_cancer,100,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z100.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z100.png
